id,session_id,month_year,assigned_to,document_count,categorized_count,skipped_count,assigned_at,completed_at,created_at,updated_at
6af4a058-39c2-4ec1-9c2e-e0697a7999c3,8267942a-3721-4956-b866-3aad8e56a1bb,2017-07,922bde00-234f-4016-99b1-241e6574c57f,304,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:45.993+00,2025-12-09 10:43:17.942+00
e43d4f82-f3db-4591-bff9-372ec4d3d2ee,8267942a-3721-4956-b866-3aad8e56a1bb,2021-10,922bde00-234f-4016-99b1-241e6574c57f,259,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:17.054+00,2025-12-09 10:21:21.601+00
638724ac-80c4-4b26-b165-e101dcf78280,8267942a-3721-4956-b866-3aad8e56a1bb,2025-08,,495,0,0,,,2025-12-09 07:57:21.884+00,2025-12-09 10:37:36.013+00
0847958a-b8f2-423e-90c6-8b579c0ac558,8267942a-3721-4956-b866-3aad8e56a1bb,2025-09,,528,0,0,,,2025-12-09 07:57:50.067+00,2025-12-09 10:37:36.154+00
22e80813-c46e-474e-a532-135a0ea328c6,8267942a-3721-4956-b866-3aad8e56a1bb,2017-11,922bde00-234f-4016-99b1-241e6574c57f,296,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:46.066+00,2025-12-09 10:43:17.979+00
69384d67-3b0e-4c7a-a647-796397268120,8267942a-3721-4956-b866-3aad8e56a1bb,2019-12,922bde00-234f-4016-99b1-241e6574c57f,158,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.95+00,2025-12-09 10:43:54.896+00
c806011e-1fae-4514-a73d-3e62e0b4922c,8267942a-3721-4956-b866-3aad8e56a1bb,2025-10,,206,0,0,,,2025-12-09 07:57:50.08+00,2025-12-09 10:38:27.442+00
f3e1e0ea-b51a-4265-a1e2-c730b1e796d9,8267942a-3721-4956-b866-3aad8e56a1bb,2020-01,922bde00-234f-4016-99b1-241e6574c57f,123,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.962+00,2025-12-09 10:44:19.155+00
a5924cf6-555a-4bbf-953d-b39e4b805c71,8267942a-3721-4956-b866-3aad8e56a1bb,2020-02,922bde00-234f-4016-99b1-241e6574c57f,257,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.969+00,2025-12-09 10:44:19.2+00
413eeb6b-8537-4906-9539-5c9f11b6eab0,8267942a-3721-4956-b866-3aad8e56a1bb,2019-06,922bde00-234f-4016-99b1-241e6574c57f,155,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.918+00,2025-12-09 10:08:08.768+00
aa73b8d3-a602-41f0-96b7-91552c0777c1,8267942a-3721-4956-b866-3aad8e56a1bb,2018-11,922bde00-234f-4016-99b1-241e6574c57f,156,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.883+00,2025-12-09 10:41:33.892+00
35d72edb-9cd7-454e-9d1c-b224daf3ac15,8267942a-3721-4956-b866-3aad8e56a1bb,2019-05,922bde00-234f-4016-99b1-241e6574c57f,285,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.906+00,2025-12-09 10:42:11.231+00
ad168ebb-a619-43b3-a435-4b92291369f0,8267942a-3721-4956-b866-3aad8e56a1bb,2021-09,c68e707c-d813-402b-adf1-b7989c4a39d9,278,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:55:51.09+00,2025-12-12 12:04:53.842+00
ddff2b27-b3d7-4723-b729-97718043fc5e,8267942a-3721-4956-b866-3aad8e56a1bb,2021-08,c68e707c-d813-402b-adf1-b7989c4a39d9,240,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:55:51.036+00,2025-12-12 12:04:53.842+00
7f6c0d4b-4081-4a84-8f8b-7fe708932f0b,8267942a-3721-4956-b866-3aad8e56a1bb,2024-04,c68e707c-d813-402b-adf1-b7989c4a39d9,176,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:57:21.725+00,2025-12-12 12:04:53.842+00
729d8cf2-547a-44c0-8440-4faf65ab3e26,8267942a-3721-4956-b866-3aad8e56a1bb,2024-05,c68e707c-d813-402b-adf1-b7989c4a39d9,171,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:57:21.732+00,2025-12-12 12:04:53.842+00
8ab24192-4717-47ff-913f-b25980994d64,8267942a-3721-4956-b866-3aad8e56a1bb,2024-06,c68e707c-d813-402b-adf1-b7989c4a39d9,200,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:57:21.741+00,2025-12-12 12:04:53.842+00
cbb1e213-32c6-4423-bd70-735a2ecb473b,8267942a-3721-4956-b866-3aad8e56a1bb,2012-02,c68e707c-d813-402b-adf1-b7989c4a39d9,12,0,12,2025-12-12 12:04:53.841+00,,2025-12-09 10:42:51.188+00,2025-12-12 12:09:12.925+00
00346186-a4fc-4030-8799-954ad40c5efa,8267942a-3721-4956-b866-3aad8e56a1bb,2012-01,c68e707c-d813-402b-adf1-b7989c4a39d9,3,0,3,2025-12-12 12:04:53.841+00,,2025-12-09 10:42:51.077+00,2025-12-12 12:08:15.743+00
42809a81-a766-4246-9b49-0290355f5c77,8267942a-3721-4956-b866-3aad8e56a1bb,2013-10,c68e707c-d813-402b-adf1-b7989c4a39d9,6,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 10:39:44.49+00,2025-12-12 12:04:53.842+00
919359c4-8200-41ad-8caa-627f42f04773,8267942a-3721-4956-b866-3aad8e56a1bb,2012-03,c68e707c-d813-402b-adf1-b7989c4a39d9,6,0,3,2025-12-12 12:04:53.841+00,,2025-12-09 10:42:51.213+00,2025-12-12 12:09:14.741+00
df0dfa1d-d48a-4440-b36d-dc9db92e20ad,8267942a-3721-4956-b866-3aad8e56a1bb,2013-11,c68e707c-d813-402b-adf1-b7989c4a39d9,4,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 10:39:44.505+00,2025-12-12 12:04:53.842+00
